Norma Juridica,Tipo Organiz.,Nombre,Personalidad Juridica,Fecha Pers. Juridica,Insc. Registro Civil,LugarReunion,Ciudad,Full Address,Latitude,Longitude,Vigencia Directiva,Modif. Estatutos,Fecha Disolucion
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS VILLA RIVERA,332,19/01/2012,117173,AV. MANZANARES N°253 VILLA RIVERA,Temuco,AV. MANZANARES N°253 VILLA RIVERA Temuco ,-38.7383905,-72.5904598,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS PEU MAYEN DEL PORTAL SAN FRANCISCO,333,06/02/2012,117174,CIRCUNVALACIÓN FRANCISCO HUENCHUMILLA N°0448,Temuco,CIRCUNVALACIÓN FRANCISCO HUENCHUMILLA N°0448 Temuco ,-38.69075,-72.65309,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS AYELEN,334,27/02/2012,117175,AYELEN N°04274,Temuco,AYELEN N°04274 Temuco ,-38.6897554,-72.654975,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS LEONARDO DA VINCI,335,17/04/2012,117176,LOS PIONEROS N°010,Temuco,LOS PIONEROS N°010 Temuco ,-38.7525041,-72.6326798,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS TORRES DEL ÑIELOL,336,21/08/2012,117177,PRIETO NORTE N°0351,Temuco,PRIETO NORTE N°0351 Temuco ,-38.727737,-72.59871,VENCIDA,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS VALLE DE ASTURIAS,337,24/09/2012,117178,PASAJE EL MOLINO N°3520 VALLE DE ASTURIAS,Temuco,PASAJE EL MOLINO N°3520 VALLE DE ASTURIAS Temuco ,-38.7001353,-72.5384888,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS VILLA RENACER,338,21/11/2012,0,,Temuco, Temuco ,-38.7383905,-72.5904598,VENCIDA,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS MANANTIAL,339,02/05/2013,117180,PRIETO NORTE N°280,Temuco,PRIETO NORTE N°280 Temuco ,-38.7342425,-72.6009505,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS VALLE DEL MAIPO,340,08/05/2013,110884,MARCONI N°02520,Temuco,MARCONI N°02520 Temuco ,-38.7383905,-72.5904598,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS PARQUE RESIDENCIAL MARTÍN HIRIART,341,29/05/2013,117182,MADRE SELVA N°2760,Temuco,MADRE SELVA N°2760 Temuco ,-38.7513922,-72.642589,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS VILLA DON JOAQUÍN,342,03/06/2013,117183,"PASAJE DON FELIPE N°03080, VILLA DON JOAQUÍN",Temuco,"PASAJE DON FELIPE N°03080, VILLA DON JOAQUÍN Temuco ",-38.7169689,-72.5503417,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS ALTOS DEL MAIPO I,343,13/06/2013,117184,AV. PORTAL DEL MAIPO N°03780,Temuco,AV. PORTAL DEL MAIPO N°03780 Temuco ,-38.7564847,-72.6552018,VENCIDA,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS LOS BOLDOS,344,24/07/2013,145085,RÍO BLANCO N°791 - VILLA LA FRONTERA,Temuco,RÍO BLANCO N°791 - VILLA LA FRONTERA Temuco ,-38.7383905,-72.5904598,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS RENACER DE SAN MARCO,345,30/08/2013,157177,ANUNCIACIÓN N° 0581 - VILLA SAN MARCO,Temuco,ANUNCIACIÓN N° 0581 - VILLA SAN MARCO Temuco ,-38.7383905,-72.5904598,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS N° 28 YUNGAY,346,22/11/2013,159379,YUNGAY N°780,Temuco,YUNGAY N°780 Temuco ,-38.73662,-72.57261,VENCIDA,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS VILLA RUCALHUE,347,26/11/2013,159371,MILANO N° 03262 - VILLA RUCALHUE,Temuco,MILANO N° 03262 - VILLA RUCALHUE Temuco ,-38.7383905,-72.5904598,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS LOS POETAS DEL PROGRESO,348,22/01/2014,163349,MALVOA ESQ. RÍO VERDE,Temuco,MALVOA ESQ. RÍO VERDE Temuco ,-38.7457277,-72.581811,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS BARRIO LAS TRANQUERAS,349,20/03/2014,169393,ISLA CHILOÉ N°03111 BARRIO LAS TRANQUERAS,Temuco,ISLA CHILOÉ N°03111 BARRIO LAS TRANQUERAS Temuco ,-38.7135573,-72.5490978,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS BARRIO VISTA VOLCÁN,350,05/05/2014,171967,NEVADO LLAIMA N°3541 BARRIO VISTA VOLCAN,Temuco,NEVADO LLAIMA N°3541 BARRIO VISTA VOLCAN Temuco ,-38.6948115,-72.5282048,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS ALTAMIRA,351,13/05/2014,171968,ALTAMIRA N°01662,Temuco,ALTAMIRA N°01662 Temuco ,-38.7499877,-72.6306857,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS NUEVA COMUNIDAD GALICIA II,352,13/05/2014,171969,AV. JAVIERA CARRERA N°1715 VILLA GALICIA II,Temuco,AV. JAVIERA CARRERA N°1715 VILLA GALICIA II Temuco ,-38.7434271,-72.6316573,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS PARQUE DON ROSAURO,353,12/06/2014,173416,VALERIANA N°02230 PARQUE DON ROSAURO,Temuco,VALERIANA N°02230 PARQUE DON ROSAURO Temuco ,-38.7113477,-72.554311,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS JARDÍN DE LAS ROSAS,354,17/06/2014,173428,LAS PRIMULAS N° 1620 VILLA JARDÍN DE LAS ROSAS,Temuco,LAS PRIMULAS N° 1620 VILLA JARDÍN DE LAS ROSAS Temuco ,-38.7446539,-72.6210996,VIGENTE,07/08/2017,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS LOS POETAS DE LABRANZA,355,03/09/2014,180887,GONZALO ROJAS PIZARRO N°742 VILLA LOS POETAS-LABRANZA,Temuco,GONZALO ROJAS PIZARRO N°742 VILLA LOS POETAS-LABRANZA Temuco ,-38.7728508,-72.7516808,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS EL TREBOL DE LABRANZA,356,14/10/2014,187907,ÁMBAR N° 339 VILLA EL TRÉBOL - LABRANZA,Temuco,ÁMBAR N° 339 VILLA EL TRÉBOL - LABRANZA Temuco ,-38.767109,-72.7570917,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS VILLA AYELEN DE LABRANZA,357,24/10/2014,189052,ABRAHAM N° 321 VILLA AYELEN - LABRANZA,Temuco,ABRAHAM N° 321 VILLA AYELEN - LABRANZA Temuco ,-38.6950386,-72.6493508,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS NUEVA LANIN,358,06/11/2014,189053,FRANCISCO POBLETE N° 0745 POBLACIÓN LANIN,Temuco,FRANCISCO POBLETE N° 0745 POBLACIÓN LANIN Temuco ,-38.7245333,-72.6074957,VENCIDA,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS COPIHUES DE COILACO,359,19/11/2014,190419,AV. PEDRO DE VALDIVIA N°0930,Temuco,AV. PEDRO DE VALDIVIA N°0930 Temuco ,-38.727474,-72.612227,VENCIDA,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS EL AROMO DE LA NUEVA GENERACIÓN,360,20/01/2015,194858,JERUSALEN N°570 VILLA NUEVA GENERACIÓN,Temuco,JERUSALEN N°570 VILLA NUEVA GENERACIÓN Temuco ,-38.7383905,-72.5904598,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS LOMAS DE RECABARREN,361,08/06/2015,207457,CERRO COLORADO N° 01994 VILLA LOMAS DE RECABARREN,Temuco,CERRO COLORADO N° 01994 VILLA LOMAS DE RECABARREN Temuco ,-38.755004,-72.6344069,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS JARDIN DE LOS NARANJOS,362,22/07/2015,209049,ÑUÑOA N°02047 - VILLA JARDÍN DE LOS NARANJOS,Temuco,ÑUÑOA N°02047 - VILLA JARDÍN DE LOS NARANJOS Temuco ,-38.7383905,-72.5904598,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS VILLA LOS REYES,363,30/11/2015,215832,REY LUIS I N°879 VILLA LOS REYES - LABRANZA,Temuco,REY LUIS I N°879 VILLA LOS REYES - LABRANZA Temuco ,-38.7662225,-72.7503687,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS HACIENDA LAS MARIPOSAS,364,14/12/2015,216302,CERRO ÑIELOL PONIENTE N°03150 - HACIENDA LAS MARIPOSAS,Temuco,CERRO ÑIELOL PONIENTE N°03150 - HACIENDA LAS MARIPOSAS Temuco ,-38.6995113,-72.5517579,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS CASA MAQUINAS,365,21/12/2015,216303,ROSA BASOALTO OPAZO N°2078 VILLA CASA MAQUINAS,Temuco,ROSA BASOALTO OPAZO N°2078 VILLA CASA MAQUINAS Temuco ,-38.7273492,-72.5687052,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS VILLA EL RODEO,366,18/03/2016,219432,EL PLACER N°0674 VILLA EL RODEO,Temuco,EL PLACER N°0674 VILLA EL RODEO Temuco ,-38.7383905,-72.5904598,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS VILLA LOS AROMOS,367,30/03/2016,229854,LOS LIRIOS N° 90 VILLA LOS AROMOS,Temuco,LOS LIRIOS N° 90 VILLA LOS AROMOS Temuco ,-38.7495227,-72.6066211,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS DIPUTADO BECKER 1,368,26/09/2016,242636,DIRIGENTES VECINALES N°0570 - VILLA DIPUTADO BECKER 1,Temuco,DIRIGENTES VECINALES N°0570 - VILLA DIPUTADO BECKER 1 Temuco ,-38.7611925,-72.6530329,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS PORTAL NUEVO HORIZONTE,369,27/09/2016,242639,CAMARONES N°01143 - VILLA PORTAL NUEVO HORIZONTE,Temuco,CAMARONES N°01143 - VILLA PORTAL NUEVO HORIZONTE Temuco ,-38.7388529,-72.5972719,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS PABLO NERUDA,370,11/10/2016,243519,JANEQUEO N° 1630,Temuco,JANEQUEO N° 1630 Temuco ,-38.7317522,-72.5769763,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS VILLA LOS TROVADORES,371,17/10/2016,243521,RÍO AMAZONAS N°01595 - VILLA LOS TROVADORES,Temuco,RÍO AMAZONAS N°01595 - VILLA LOS TROVADORES Temuco ,-38.7383905,-72.5904598,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS LOS PABLOS,372,06/12/2016,244739,JUSTO DONOSO N°02116 - VILLA SANTA CECILIA,Temuco,JUSTO DONOSO N°02116 - VILLA SANTA CECILIA Temuco ,-38.7383905,-72.5904598,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS AITUE,373,23/01/2017,247074,HUASCARÁN N°0921 - PLAZAS DE CHIVILCAN,Temuco,HUASCARÁN N°0921 - PLAZAS DE CHIVILCAN Temuco ,-38.7383905,-72.5904598,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS ALTOS DE SAN ISIDRO 1,374,20/03/2017,252601,1 ORIENTE N° 538 - VILLA ALTOS DE SAN ISIDRO - LABRANZA,Temuco,1 ORIENTE N° 538 - VILLA ALTOS DE SAN ISIDRO - LABRANZA Temuco ,-38.7705108,-72.7519687,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS DIPUTADO BECKER II,375,31/05/2017,257900,ROTONDA DIRIGENTES VECINALES N° 0570 VILLA DIPUTADO BECKER II,Temuco,ROTONDA DIRIGENTES VECINALES N° 0570 VILLA DIPUTADO BECKER II Temuco ,-38.7611925,-72.6530329,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS LOS JARDINES DE AVENIDA ALEMANIA,376,24/08/2017,261994,PRIETO NORTE N°450,Temuco,PRIETO NORTE N°450 Temuco ,-38.7362595,-72.6015186,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS VILLA PORTAL DEL SOL,377,06/10/2017,266788,CHACAO N°771 VILLA PORTAL DEL SOL,Temuco,CHACAO N°771 VILLA PORTAL DEL SOL Temuco ,-38.7300993,-72.5562865,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS AYLLAN MARILLAN,378,20/10/2017,267802,AYLLAN MARILLAN N° 590 CONDOMINIO DANIEL SCHMIDT,Temuco,AYLLAN MARILLAN N° 590 CONDOMINIO DANIEL SCHMIDT Temuco ,-38.724564,-72.6237828,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS VILLA JORGE TEILLIER,379,23/10/2017,267799,2 NORTE N° 870 VILLA JORGE TEILLIER,Temuco,2 NORTE N° 870 VILLA JORGE TEILLIER Temuco ,-38.7634833,-72.7462862,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS LA FRONTERA,380,04/12/2017,269003,Esperanza Norte N° 0620,Temuco,Esperanza Norte N° 0620 Temuco ,-38.7383905,-72.5904598,VENCIDA,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS VILLA JARDINES DEL FUNDO,381,05/12/2017,269005,Los Mentores N°0371 Villa Jardines del Fundo,Temuco,Los Mentores N°0371 Villa Jardines del Fundo Temuco ,-38.7138711,-72.661736,VIGENTE,,
LEY 19418 TERRITORIALES,JUNTA DE VECINOS,JUNTA DE VECINOS VILLA LAS ENCINAS,382,06/12/2017,269518,Las Enredaderas N° 01698 Villas Las Encinas,Temuco,Las Enredaderas N° 01698 Villas Las Encinas Temuco ,-38.7497669,-72.6239405,VIGENTE,,
